id_seller,username,nama_toko,level_toko,premium_toko,id_produk,nama_produk,kategori,kondisi,rating,jumlah_rating,stok,jumlah_interest,jumlah_sold,jumlah_view,harga,harga_asli,diskon,deskripsi
44354132,antara_motor,APS PART,Trusted Seller,platinum,430ll0c,O-Ring Oring Seal Tutup Klep Karisma Supra X 125 Revo Fi Blade Fi KPH,Sparepart Lainnya,Baru,4.9,51,73,27,480,0,3000,3000,0,"O-Ring Oring Seal Tutup Klep Karisma Supra X 125 Revo Fi Blade Fi KPH <br><br/><br><br/>Harga Satuan <br><br/>For Use :<br><br/>- Karisma<br><br/>- Supra x 125<br><br/>- Revo Fi<br><br/>- Blade Fi <br><br/>- Dll <br><br/><br><br/>SKU : KDH417<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/><br><br/>Setiap orderan disarankan Add minimal 1 Bubble wrap, agar terjamin pengiriman nya dan tidak rusak, penyok dan sebagainya, Terimakasih <br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,42v56gr,Handle Handel Kiri Kopling Yamaha Vixion Scorpio Rxk Rk king New KDY259,Handlebrake,Baru,4.8,95,461,48,225,0,10500,10500,0,"Handle Handel Kiri Kopling Yamaha Vixion Scorpio Rxk Rk king New <br><br/><br><br/>Kode Part : 3KA-H3912-00<br><br/>For Use : <br><br/>- Vixion<br><br/>- Scorpio<br><br/>- RK King New<br><br/><br><br/>SKU : KDY259<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/><br><br/>Setiap orderan disarankan Add minimal 1 Bubble wrap, agar terjamin pengiriman nya dan tidak rusak, penyok dan sebagainya, Terimakasih <br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
44354132,antara_motor,APS PART,Trusted Seller,platinum,42n38co,FILTER SARINGAN UDARA MIO M3 FINO PREMIUM GRANDE ALL NEW SOUL GT KODE 2PH,Filter,Baru,4.9,303,13,110,556,0,12180,14000,13,"<p>Ready Saringan Udara Mio M3 Bisa Grosir</p><p>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR<br>Google Maps : Workshop Antara Motor Kalisari-Cijantung Ps Rebo Jaktim</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,42n2wqw,FILTER SARINGAN UDARA MIO,Filter,Baru,4.9,189,180,53,390,0,11000,22000,50,<p>Beli Banyak Semakin Murah<br>Bisa Langsung Pasang Ditempat</p>
44354132,antara_motor,APS PART,Trusted Seller,platinum,41v3b3s,Karet Standar Dua Tengah Matic Honda Beat Vario Scoopy Spacy Original,Sparepart Lainnya,Baru,5,279,1166,126,1173,0,2000,2000,0,"<p>Karet Penahan Standar Dua Tengah Matic Honda Beat Vario Scoopy Spacy Original </p><p>Kode Part : 9501-161-000<br>For Use : Matic Honda</p><ul><li>Beat </li><li>Vario</li><li>Scoopy</li><li>Spacy</li></ul><p>SKU : KDH406</p><p>GROSIR SPAREPART, STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,41qts9y,Tambahan Plastik Bubble Buble Wrap Untuk Packing Part Beresiko Pecah Dan Rembes,Safety Lainnya,Baru,4.8,1153,966,145,1703,0,1500,1500,0,"Tambahan Buble Wrap Untuk Packing <br><br/><br><br/>Setiap Orderan Mohon Add Keranjang Minimal 1 Bubble Wrap, Agar terjamin Pengirimannya Dan Tidak Rusak, Penyok  dan Sebagainya<br><br/><br><br/>Terimakasih"
44354132,antara_motor,APS PART,Trusted Seller,platinum,41kugf0,Tali Kabel Speedometer Spedo Kilometer Yamaha Jupiter Z Vega R ZR 5TP KDY233,Sparepart Lainnya,Baru,5,100,506,56,214,0,12000,14000,14,"<p>Tali Kabel Speedometer Spedo Kilometer Yamaha Jupiter Z Vega R ZR 5TP</p><p>Kode Part : 5TP-H3550-00</p><p>For Use</p><ul><li>Juiter Z </li><li>Vega R / ZR</li></ul><p>SKU : KDY233</p><p>GROSIR SPAREPART , STRIPING , CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40y2shc,Bearing Bering Klaher Laher 6300 Honda KDU118,Sparepart Lainnya,Baru,4.9,163,621,55,832,0,6500,6500,0,"<p>Bearing Bering Klaher Laher 6300 Honda </p><p>Kode Part : HB6300RS</p><p>SKU : KDU118<br>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40y2ga6,Bearing Bering Klaher Laher 6301 Honda KDU119,Sparepart Lainnya,Baru,4.9,203,5,86,829,0,6500,6500,0,"<p>Bearing Bering Klaher Laher 6301 Honda </p><p>Kode Part : 91005-KZR-601</p><p>SKU : KDU119<br>~&gt; Beli Banyak Semakin Murah<br>~&gt; Bisa Langsung Pasang Ditempat</p><p>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR</p>"
44354132,antara_motor,APS PART,Trusted Seller,platinum,40mpn4x,Handle Handel Rem Kanan Honda Supra X 125 Karisma Supra Fit New Revo Hitam KDH397,Sparepart Lainnya,Baru,4.9,95,185,62,325,0,8500,8500,0,"Handle Handel Rem Kanan Honda Supra X Hitam<br><br/><br><br/>Kode Part : 53175-KET-FM0<br><br/>For Use :<br><br/>- Supra X 125<br><br/>- Supra Fit New<br><br/>- Revo<br><br/>- Karisma<br><br/>- Dll <br><br/><br><br/>SKU :  KDH397<br><br/>~&gt; Beli Banyak Semakin Murah<br><br/>~&gt; Bisa Langsung Pasang Ditempat<br><br/><br><br/>GROSIR SPAREPART , STRIPING, CAT ORIGINAL MOTOR"
